,review_text,is_spoiler
0,"Милая и лёгкая история в духе ромкомов. Романтичная книга с банальным сюжетом. Главная героиня мне понравилась, адекватная и добрая, а её ""парень"" очень мило заботится о девушке. Омрачило впечатление о романе только два момента. Мне не понравились постельные сцены. Терпеть не могу когда герои прерываются на разговоры типо ""ты не обязана это делать"", ""если ты не уверена, я остановлюсь"". И вообще секс был больше неуклюжим, чем романтичным. Немного не вписывается в лёгкий жанр книги, мне кажется. И концовка немного затянута. Немного неприятно было, когда друг главного героя начал рассказывать о том, что тот писался в детстве. Оливия переживает, что её лучшая подруга чувствует себя неловко из-за того, что встречается с её бывшим. Ань думает, что у девушки ещё осталась любовь к парню. Оливия не смогла придумать ничего лучше, чем поцеловаться с первым встречным. Этим ""везунчиком"" стал доктор Карлсен, который даже не смог что-то ответить. Кажется, что подруга немного успокоилась, ведь теперь Оливия влюблена в другого. Только вот этот поцелуй показался немного странным. Теперь у Оливии созрел новый план, чтобы окончательно убедить Ань. Доктор Карлсен соглашается стать ""фейковым парнем"", ведь ему это тоже выгодно. Правда эта выгода очень странная. Они для правдоподобности решают иногда встречаться, пить кофе и гулять. И каждый раз попадают в неприятности, ведь Ань постоянно сводит ребят, буквально заставляя проявлять чувства на публике.",0
1,"Начну с того, что книга мне понравилась своей необычностью. Мне лично, сложно отнести ее к какому-то определённому жанру. Тут были: и сатира и юмор, фэнтези и мистика, социальная фантастика и сказка. И все это гармонично вписалось в историю. Мне понравился стиль написания, легкость, с которой автор ведет нас по довольно таки серьёзным темам. И, если на первый взгляд, кажется, что это сказка, то уже к концу книги понимаешь, что это реальный мир под оболочкой сказки. Так что, для меня лично, книга всетаки социальная фантастика. Советую эту книгу тем, кто хочет отдохнуть от реального мира и тем, кто хочет подумать о странностях наших реалий. ",0
2,"Продолжение истории Макса и Сары из ""Прекрасного незнакомца"".По обложке понятно, о чем сюжет 
                                                Источник  Источник",0
3,"""Зло – это правило, добро – исключение.""""Никто не в силах исправить все несовершенства мира.""Вторая часть трилогии про Сандру и Маркуса. Здесь уже расследуются другие дела. Дело ""соляного мальчика"" и дело расчлененной монахини Ватикана. Маркус ведёт параллельно своё расследование вместе с Сандрой, периодически они встречаются, чтобы поделиться сведениями. Долго идут к цели, теряют многих людей, коллег, друзей. Всё же находят монстров, скрытых под человеческой маской. Эта часть мне понравилась больше именно динамикой и самой историей. Но! Были предсказуемые моменты и так же после поимки ""соляного мальчика"" мне не хватило истории из его уст, не хватило его признания на суде и его наказания. Всё произошло мимолётно. Концовка очень скомкана , закончилась неопределённо, возможно в третьей части будет про убийцу монахини, а если нет, то это какой то бред. Так же остались открытые вопросы по поводу настоящего Шалбера из первой части. Где он???",0
4,"Почти каждый человек в своей жизни рано или поздно сталкивается с проблемой нехватки или полного отсутствия денег. В такие моменты ты понимаешь, что ни твое прошлое, ни весь твой профессиональный талант не помогут тебе найти средства к существованию. А что, если человек не обычный рабочий, а писатель? Тогда проблемы кажутся и вовсе неразрешимыми. Автор постепенно подводит нас в книге от вопросов поиска денег, к вопросам смысла жизни. В чем он вообще заключается, какие вещи действительно являются важными, а какие только кажутся таковыми, на самом деле только создавая проблемы? Что я вынес для себя, так это то, что все мирское, все материальное, включая личные отношения, не имеют ровным счетом никакого значения. Только обретя полную гармонию с самим собой можно стать по-настоящему свободным и счастливым. По крайней мере, так я понял посыл автора. Книга читается довольно легко. В отличие от того же Пелевина в ней нет каких-то заумных размышлений, которые повторяются от главы к главе только в разной форме. Не затянуто, что в наши дни бывает крайне редко. Не исключаю, что в ближайшее время захочется перечитать её еще раз. А для меня это самый главный показатель качества произведения.",0
5,"Это моё первое касание с творчеством Маши Трауб. Долго не решалась взяться из страха разочароваться — слишком уж сильно хвалили её. Не могу сказать, что в восторге. Видимо, ни с той книги начала. Нет, с романом всё в порядке: язык удобный, жанр — один из самых любимых — бытоописание, образности хватает, но, слава Сешат, без зашквара метафоричности, герои объёмные, но...
Вечно это пресловутое «но» дёгтя на всё кладёт. Почему-то никто внутри этой истории не вызвал во мне сочувствие. А под конец сильно хотелось, чтобы наконец конец. Надоел весь этот сонм травмированных, недолюбленных, озлобленных. Понимаю, скорее всего, автор как раз и хотела показать всю эту «правду жизни»: искорёженных воспитанием, окружением, ситуацией людей, но... Избыточность токсичности произвела скорее отталкивающее впечатление, чем наглядную демонстрацию, как не надо.
При этом! При этом книгу бросить не хочется — раз, надежда, что главный герой изменится не покидает до последней точки — два, язык, повторюсь, лёгкий — три. Ну и ещё половинку балла за объём — триста с полтиной страниц читается за несколько вечеров. Итак: 3,5 из 5. Жанр: современная проза
Платформа: Эксмо
Версия: бумажная
Страниц: 352 Источник",0
6,"Такое хорошее и захватывающее начало цикла и такой смазанный конец. Получили ли мы ответы на все вопросы? - Нет. Наказаны ли все злодеи? - Смотря как посмотреть. Чувствуется целостность истории? - Нет.
Из положительных моментов: на протяжении всех ""несчастий"", главные герои сильно выросли, особенно с точки зрения личностей, вся серия в целом - это отличное чтение для тех, кто хочет познавать книги в оригинале (большинство сложных слов объясняется простым и понятным детям языком).",0
7,"В целом не плохо заканчивается последняя книга о княжне Весенике. И дом себе нашли, и с врагами разобрались, и все целы и живы. Но хотелось бы узнать по больше о будущем, увидеть город который они строят, узнать судьбы всех братьев, реакцию родителей на город. ",0
8,"Должна признаться, эта часть мне понравилась больше, чем первая. Тут герои живее, что ли. Им больше веришь и сочувствуешь. То есть да, в первой части были эмоциональные качели, но они в большей степени были вызваны поведением самих героев, а тут… А тут ты уже переживаешь не вместе с ними, а за них и это всё-таки разные уровни вовлечённости в сюжет. Да и вообще, в этой части столько всего происходит, я даже пожалела, что читала книгу не на совместных чтениях. Ведь в какие-то моменты очень хотелось поймать того, кто в курсе сюжета и проорать: “Нет, ты видел?! Видел?!”. Но я читала соло, поэтому орала в себя. И даже несмотря на то, что мои мечты о кровавых слезах Батлера не сбылись – мне всё понравилось то, как он перевоспитался и почему. Он всё же мучился. Путь за кадром и красиво, как подобает самцу, но страдал. Хоть так. Ой, кстати, концовка вообще огнище. Слащавое, но огнище. Потому что это логично, понятно и в духе героев. И мне очень понравилось то, что финал как бы открытый. Герои прошли испытания, переродились, и у них начинается не новая глава, а целая книга. Но, боюсь, её читать будет не так интересно, ведь героями там будут уже немного другие люди, и я рада этому. Хороший финал, для не очень хорошей, и в целом не очень законной, истории.",0
9,"Ожидание и реальность опять не сошлись, причём в самом лучшем виде. Я ожидала намного меньшего и, признаюсь, даже не с первого раза решилась преступить. Но приступив – не смогла оторваться. Мне понравилось! Главная героиня оказалась неожиданно бойкой. Вот вроде бы все предпосылки были к тому, что она будет наматывать сопли на кулак и тонуть в болоте. И, по законам жанра кто-нибудь добрый и на коне, желательно белом, будет её спасать. Но нет! Девица поплакала чутка и пошла строить своё светлое будущее назло бывшему жениху. Сама! Нет, ей, конечно, будут потом помогать все встречные — поперечные, но там такая помощь, что практически вред и порча имущества. Одно ядро пушечное чего стоит или, простите боги, голова короля?! Правда, друзья у Николь классные. Немного с чудинкой, но куда ж без нее-то? Правда, под конец я за Дрю переживала больше, чем за главных героев.
А вот за Рикарда и Кристиана вообще не переживала. И да, признаюсь, всеми фибрами души опять болела не за того, кто в итоге стал женихом. Но, чисто на мой вкус, девушка могла и бы и подольше помучить бедующего мужа. Но это так, скорее моя кровожадность, чем придирка к сюжету. В остальном же – это удивительно лёгкая, светлая и добрая книга. Убийства и чуточку членовредительства в ней, конечно, тоже есть, но их немного и там всё в рамках 16+. Так что, если у вас есть сомнения по поводу этой серии – отбросьте их в пекло и начните уже читать. Поверьте, это намного интересней, чем кажется.",0
10,"История о девушке Сон Йонг, которая жила совершенно обычной жизнью в Южной Корее, работала в офисе и встречалась со своим коллегой. Вот только выясняется, что этот мужчина не тот, за кого он себя выдает, и она оказывается в Чосоне 16 века, охваченным войной. Но и тут все не так просто, ведь то, что Сон помнит из учебников истории не совсем сходится с происходящим. Никаких драконов и прочих волшебных существ там точно не было! История мне понравилась. Проглотила ее за пару вечеров и отлично отдохнула. Немного, правда, настораживало, что русский автор пишет о Корее, где другая культура, мифология, но Ксения справилась на ура,  действительно погрузила в нужную атмосферу.  Единственное - середина книги была для меня скучной и немного просевшей. Хотелось каких-то действий. Отдельный плюсик хочется еще поставить за главную героиню. Поначалу я переживала, что она будет типичной девчонкой, которая, оказавших на прицеле у двух красавчиков, только о них и будет думать. Но нет, тут она меня удивила. Сон Йонг очень долго держалась и единственное, о чем думала - как вернуться домой. Да и в остальном, столкнувшись с трудностями и жизнью, которой она никогда не жила, она не капризничала и не ныла. Ну как такая героиня может не подкупать? Посмотрим, что нас ждет во второй части.",0
11,"И вот здесь бы прекрасно смотрелась подводочка: “Ужасный выбор сделала не только Гвендолин, но и я…”, однако её не будет. Ведь я, как читатель, сделала прекрасный выбор, решив прочитать эту книгу. Признаюсь, я не ожидала того, что получила в итоге. Ну потому что не очень-то рассчитываешь полкниги неистово угорать над калекой и принцессой, которая пытается этого бедолагу охмурить. Но как же это забавно у них получается взаимодействовать. Судите сами, вроде бы убогонький на вид мужичонка подволакивая ноги и на всей своё сверх черепашьей скорости убегает от красивущей девицы, будущей королевы, лишь только потому, что не хочет жениться. Неконкретно на ней, а в сущности. А Гвендолин надо замуж, опять же, неконкретно за него, а просто долг обязывает. Вот и бегают бедолаги, он от неё, а она за ним. И красиво бегают. С огоньком! Придворные и принцы, приглашённые на отбор – в шоке, Риан Бессердечный – в панике, а принцесса наряжается и напивается. Прекрасно же. И если вы, как и я, любите абсурд, нелепость и наивность в книгах – читайте, вам зайдёт. Но не ищите тут глубоко прописанных героев, это простая и весёлая история, без экивоков.",0
12,"Легко, весело, интересно, без надрыва и соплей. Ну,строго говоря, сопли были, но в основном от холода, а не от мытарств души. В остальном же эту книгу можно рассматривать как руководство к действию. Ну если вы когда-нибудь поедите в замок присматривать за сестрой, которая собралась замуж за одного из представителей тёмных магов. А всем остальным просто будет забавно читать про острые пикировки всех со всеми и прощупывание границ. Серьёзно. Разговоры Агнессы и тётушки декана – прекрасны. Наглядная демонстрация того, как вежливо, но чётко обозначить свою точку зрения. Нет, там все тёмный маги молодцы, но с пожившей своё ведьмой вряд ли кто-то сравниться. Хотя инкуб старался, но с подземельем всё же перегнул чутка, но с кем не бывает. Так-то рыжая ведьма, пардон, светлая чародейка косвенно виновна в “смерти” его любимой Изольды. Да и на концерт с проповедью заманила обманом. Но мы её за это не виним. Мы её понимаем. И даже чуть-чуть хвалим. Ибо нефиг непорочных дев пытаться накормить живым осьминогом. Но, не на одном ехидстве держится книга. Про любовь тут тоже есть. Помолвленные Кэтти с Шейнэром не подкачали, правда, они напоминали счастливых щеночков. Радостно носились по замку и окрестностям, совершенно не скрывая того, как увлечены друг другом и как этому рады. А вот любовная линия Агнесс получилась более изящной и ненавязчивой, напоминающей кружево. Вроде бы и что-то есть, никто не противится, но и не выпячивает. Обозначили симпатии и позволили жизни всё расставить по своим местам. Короче, да, я опять в восторге! И втайне надеюсь на продолжение, но так, чтобы в роли невесты была Агнесс. Я предвкушаю столкновение интересов тётушки декана и госпожа Эркли.",0
13,"Совершенно чудесная история из тех времён, когда великаны уживались на одной земле с людьми. Когда собаки разговаривали, и к их словам прислушивались. Когда рыцари были такими грозными и суровыми, что о них слагали легенды сами драконы Итак, жил в те славные времена фермер Джайлс, и была у него собака по клике Гарм. Гарм был настоящим говорящим псом. И вот однажды на землю фермера пришёл грубый и глухой великан. Начал он всё крушить и ломать, гонять овец и вытаптывать посевы. Но верный Гарм не спал, он прибежал к хозяину и рассказал тому о беде. Фермер поднялся с постели, поспорил с женой - верить псу или нет - и отправился сам всё проверять. С этого и начался покрытый подвигами и славой путь восхождения фермера Джайлса к признанию и богатству. Правда, не всегда он горел желанием совершать эти самые подвиги. Оно и понятно - никто за тебя пшеницу не посеет. Да и за стадом глаз да глаз нужен. Когда же отвлекаться на драку с великанами или разборки с драконами? Сказка написана с большой долей юмора и любовью к персонажам и самой истории. Минус я поставила за Предисловие, которое сначала меня немного шокировало. Не такого  ожидала, но потом всё встало на свои места. Искренне рекомендую всем, у кого плохое настроение или просто не задался день. Про аудиоверсию. 
Сказку прослушала на ""Детском Радио"". К сожалению, чтец остался без имени. Но голос очень знакомый!
На всём протяжении чтения фоном звучала музыка. Иногда хотелось её выключить. Но, в целом, я довольна исполнением. Книга прочитана в рамках турнира Клуба ""Читаем классику вместе"". Благодарю создателей  Nekipelova ,  Nurcha  и свою команду:  AnettaTi ,  Lorna_d .",0
14,"Знаете, есть особая когорта книг и называется она “Я бы на неё просто так и не взглянула”. Такие истории не привлекают тебя ни аннотацией, ни обложной, ни даже огромным количеством положительных отзывов. Они просто вне поля твоего зрения. Но вот кто-то настоятельно советует тебе именно её. Или ты участвуешь в марафоне, где её надо прочитать. И всё. В том плане, что твоё сердечко очаровывается с первых строк. Ты читаешь и улыбаешься, переживаешь за героев и радуешься им победам. Вот для меня Лазурь стала именно такой книгой. Приятной, лёгкой, весёлой и интересной. Причём я увлеклась настолько, что прочитала её буквально за полдня и сама того не заметила. А какое настроение было потом, м-м-м-м. Песня! Заряд бодрости и позитива. Да я и сейчас, вспоминая сюжет, улыбаюсь. Чем-то меня зацепила эта с виду простая история, в который сильного мага и “простую” сиротку связала узами брака луна. И я даже не могу проанализировать чем именно. Вроде бы таких историй пруд пруди, а нет. Может дело в героях, которые хоть и смиряются с вынужденным обручением, но всё равно пытаются найти компромиссы и не задевать чувств друг друга. А может это всё из-за мира и его магии, они странные, пугающие, но при этом завораживают. Хотя думаю и женское противостояние, в особенности его причины, тоже сыграли свою роль. В общем-то, да, я отчаянно пытаюсь понять, чем же мне так приглянусь эта книга, но не могу. Мне просто понравилось и это, наверное, самое главное.",0
15,"Совсем недавно я познакомилась с творчеством автора, прочитав ""Диалоги."" И вольно не вольно, у меня в голове возникали ниточки, которые связывали эти книги. – Как знаешь. Я же просто спросила. Мне кажется, в диалоге всегда важнее не ответы, которые мы получаем, а вопросы, которые нам задают. Ты же заметила, что я так и не ответила на твой? Обе книги сложные по темам, которые они поднимают. Но если ""Диалоги"" в меня просто ""влетели"", то ""Умереть...."" мне было читать очень сложно, автор пишет настолько правдоподобно и прямолинейно,  просто до жути, до мурашек от того, какие темы поднимаются в книге.
До чего может довести любовь, на что решились ради нее Робин и Габриэль, испытания, через которые они прошли- это одно. Но у  меня, как у матери, при прочтении книги возникало множество вопросов к родителям, калечившим морально своих детей:
- Вы знали, что дети не игрушки, сломал и выкинул с ними НЕ работает?
-Осознавали ли вы, что даже животным нужна ласка, неговоря уже о детях? ""-И все. Я каждое утро просыпалась, вспоминая о том, что еще один день – еще один подарок. А потом просыпалась ты. И напоминала мне о суровой реальности, где твоя дочь может тебя ненавидеть, твой муж может не считаться с твоим мнением, а ты сама можешь быть связана по рукам и ногам. Я боялась, что ты упадешь, потому что любила тебя. А хотела этого, потому что иногда мне казалось, что эта любовь – всего лишь обязательство, которое берет на себя каждая мать, рожая своего ребенка."" Книга выбивает из колеи надолго, о ней думаешь не перставая, думаешь о том, что по сути психологическая нестабильнось героев книги и те события, которые к этому привели, могут быть и в реальной жизни.
Понравилось то, как автор показала, что любой человек таит в себя мысли и страхи, о которых просто нельзя говорить вслух, но когда - нибудь они могут вырваться наружу. – Смотря, что тебе нужно. Вот они – твои истинные желания. Которые зудят так сильно где-то на подкорке, что, если бы не череп, ты бы терзала свой мозг, расчесывая ногтями, пока он не превратится в кашу. Они, эти желания, не обманут. Что для меня несомненный плюс (в любой книге)- хорошо прописанные, яркие персонажи, хоть второстепенные, хоть главные. Книга по объёму небольшая, но очень и очень ёмкая, насыщенная.
Прочитав уже две книги автора (а эту вообще за один день), я для себя определила жанр этих произведений:  книги- притчи, они заставляют задуматься, они учат, они вдохновляют.",0
16,"Очень хорошо. Учитывая, что я не особо люблю фантастику, то для меня идеально! Конечно, это не НФ в прямом понимании, тут больше внимания уделено художественной части и детективной. Повествование ведётся от лица двух героев - детектива и командира корабля, от чего книга только выигрывает, так интереснее следить за развитием событий. Плюсом, для себя, выделю не загруженность книги малопонятными терминами, да и в целом увлекательными приключениями.",0
17,"Анита Амирезвани сделала это второй раз – «Равная солнцу» читается ничуть не хуже «Крови цветов», которая заставила запомнить имя автора и приобрести следующую книгу. Теперь, если я увижу третью, тоже возьму её без сомнений. Эмоциональная, тяжёлая, многоцветная, рассудительная – всё это Амирезвани, уверенный голос в современной литературе, когда на каждого нового автора сперва посматриваешь с подозрением. Как иногда бывает, после прочтения возникает жменька претензий, или нет, вопросов, к автору, или, возможно, это раскрытие трюков по заманиванию бедного читателя. Может, искренне, может, с расчётом, «Равная солнцу» оказалась очень сильно гендерно окрашена. Вполне вероятно, тогда жизнь была такая, но все мужчины оказываются жуткими негодяями и властолюбцами, женщины – заспинными и ревнивыми интриганками (хотя некоторые показывают себя с благородной стороны). Самыми человечными оказываются представители «третьего пола» – евнухи, которым уделено достаточно много внимания и даже определённая философия. Они одни умудряются сохранять хоть какие-то душевные движения в этом пандемониуме власти и денег. Роман, конечно, оставляет след – никакой фарр никого не интересует, власть приобретается кровью, моральных ценностей не существует. Джавахир любит свою сестру, и она кажется чистой душой, но как она устроится в этом мире... Автор придумала им что-то вроде хэппи-энда, ну так уже и пора было, после таких перипетий (и, кстати, оставила ниточку для возможного продолжения истории). Так или иначе, вместе с (впрочем, вполне вписывающимися) гендерными мнениями и постоянной (впрочем, закулисной) жестокостью, история кажется вполне реалистичной. Особенно сюжетная линия власти. Если герой для приближения к сильным мира сего пожертвовал своим кирром, другие без зазрения совести жертвуют всем, что только ни потребуется... Так что жертва евнуха оказывается ещё не самой великой. Но «страшная» книга кончилась, А.А. выражаю почтение, иду смотреть, как книга «легла» у других. Переводчик Алан Кубатиев справился с работой отлично, порадовав в некоторых местах такими словами как «животастый» и «сыздетства» и выражениями вроде  «сошвырнув с ног... обувь». «Азбука», разумеется, должна была сопроводить издание глоссарием, дабы читатель хоть какое-то представление имел о всяких «чадорах» и «пичехах», но сейчас, кажется, издательства не задумываются о таких «мелочах».",0
18,"Мальчик Каработ в предвари новогодних праздников отправляется с компанией друзей колядовать по соседним деревням. Но в его планы вмешивается некий мастер -колдун, который через сон призывает его. И вот не в силах сопротивляться Карабат отправляется на поиски заброшенной мельницы. Найдя ее вступает в ряды подмастерьев. Двенадцать мальчиков живут на мельнице, работают и учатся у чернокнижника, и вроде бы как все хорошо, все сыты и есть гже жить, но это ровно до новогодней ночи. А вот в эту ночь происходит то чего каждый из мальчишек боится один из них умирает, а на его место приходит новый мальчик. И так год за годом. Но конечно есть способ спастись, главное что бы нашелся смельчак. Какое-то не однозначное впечатление после прочтения остается. Вроде бы понимаю, что это сказка, и не жду особо глубокой проработки героев, но в тоже время главный герой показался совсем не интересными каким-то безвольным даже. По сути он сам ни чего не делает,  о том что на самом дели происходит на мельнице и как выйти из этого заколдованного круга Карабат узнает только когда один из друзей по обучению Юро ему объясняет. Собственно и он же подсказывает Карабату как победить колдуна. И вот тут опять же это должна сделать девушка которая его (Карабата) любит. Но вот вопрос если все делают другие, зачем нам этот Карабат? Есть в книге конечно атмосфера немного жутковатая, и даже забавные моменты, но само повествование не увлекает. А то что текст разделен на много маленьких глав, которые как отдельные истории делает сюжет несколько рваным и мешает воспринимать его более цельно. ",0
19,"Как и большинство подобных сборников, где очень разные произведения, написанные в разных жанрах очень-преочень разными авторами, объединяются некой условной «общей» темой, сборник «Негодяи», составленный Дж. Р.Р. Мартином  и Г. Дозуа, получился весьма и весьма неровным. Чтобы вы могли представить эту синусоиду, разброс моих личных оценок - от 5/10 до 10/10. И, да, увы, такие сборники идут всегда медленно и тяжко, я в параллель ещё семь книг прочла.
Всего рассказов - 21, плюс немного ностальгическое вступление от Мартина с рассуждениями о том, почему нам так нравится читать про негодяев и трикстеров.
Мои фавориты здесь - С. Линч и П. Ротфусс. И в этом нет ничего удивительного! Как известно, оба автора – редкие крутаны (кроме одного малюсенького нюанса, ну, этого… знаете... про недописанные циклы… но сейчас не об этом).
У Ротфусса в сборник включена повесть «Грозовое дерево» из знаменитого цикла «Хроники убийцы короля». Она великолепно написана и самодостаточна, не нужно знать ничего сверх того, что в ней уже есть. Да, читавшие «Имя ветра» и «Страхи мудреца», наверняка, увидят что-то ещё, но для меня всё прекрасно и так. 10/10. Нет! 11/10. Главный герой - Баст, о котором в процессе чтения мы узнаём разные (удивительные!) вещи. Например, что он не тот, кем кажется. И что он помогает детишкам, выполняя их желания, но не надо думать, будто это какие-то хорошие дела.
У Линча здесь рассказ «Год и день в старом Терадане» из «Тераданского цикла», в котором больше пока что и нет ничего. Но рассказ отличный и тоже самодостаточный. Мне понравились в нём и сюжет, и уровень замеса (да-да, я про ""как украсть улицу?""), и персонажи, и как всё развязалось в итоге. Интересный способ наказания преступников, кстати. Там их превращают в статуи и закрепляют на них лампы, чтобы они служили городу всегда. Мир представлен, конечно, не весь, но даже по тому маленькому его фрагменту – тщательно выверенному и виртуозно прописанному – видно, что это нечто стоящее. В общем, 10/10.
Нилу Гейману 9/10 за рассказ «Как Маркиз свой кафтан назад получил» я поставила по блату. Объективно, он, пожалуй, стоит 7/10. Но добавим единичку за симпатию к Нилу, единичку - лично Маркизу и получим как раз девять за всё. Рассказ, можно читать, не зная ничего про «Никогде», к которому он примыкает, но он всё же многое теряет в таком случае, как мне кажется. В основном, потому что за рассказ не успеваешь проникнуться очарованием Маркиза. Ну, а ещё рассказ получился суетливый и немного бестолковый, хотя для Геймана это - не недостаток обычно.
Кроме Геймана, «девяточки» получили Д. Абрахам (возможно, вы знаете его под псевдонимом Джеймс Кори) за рассказ «Суть любви» и Б. Дентон с повестью «Крутая медь».
«Суть любви» о том, как виртуозно всех обмануть, свести влюблённых вместе, подружиться с известным убийцей, заработать денег и разобраться, что же такое любовь на самом деле. Немножко аллюзий на истории про слуг, которые всё делают за своих хозяев, пока те лежат в тенёчке и страдают от неразделённой любви (или другой какой ерунды).
«Крутая медь» о том, как вор крадёт у вора. Она неоднозначная, но мне понравилась, потому что здесь про музыкантов-одержимцев, понимающих, что главное - музыка. А ещё она забавная, иногда нелепая, со скрытыми скелетами в шкафах и достаточно динамичная, чтобы не дать заскучать.
Откровенно плохих рассказов в сборнике нет, но вот эти мне понравились меньше прочих:
- «Ревущие двадцатые» К. Вон, 5/10. Там на протяжении тридцати страниц очень атмосферно, красиво и антуражно, НИЧЕГО НЕ ПРОИСХОДИТ.
- «Тяжёлый металл» Ч. Прист, 5/10. Экзорцизмы, экология, несуразность и скучнота.
- «Недоразумение в Тире», С. Сейлор, 5/10. Какой-то невнятный винегрет, я такое люблю вообще-то, но тут не сработало.
- «Сертификат происхождения», Д. Болл, 6/10 Просто очень скучно.
- «Согнутая ветка», Дж. Р. Лансдэйл, 6/10. Сюжет ""Принцесса в беде"", рассказанный в рамках реальной, далёкой от сказок жизни. Ничем меня не тронуло.
- «Принц-негодяй, брат короля», Дж. Р.Р. Мартин, 6/10. Скорее, статья в Википедию по миру «Песни льда и огня», чем рассказ. Такой-то пошёл туда-то, захватил то-то, убился об вон то (по пути убил и изнасиловал всех, кого встретил).
Про остальные рассказывать не буду, все они неплохие (7/10 и 8/10), многие написаны авторами, которых я знаю и люблю.
Средний бал я поставила в итоге 8/10, щедро округлив 7,5.",0
